"result.depletion","hdi.depletionl","hdi.depletionh","result.biomass","hdi.biomassl","hdi.biomassh"
0.623048077108403,0.435040229083341,0.835987539173935,1168.80015713628,513.120719933253,1940.89178882962
0.616063809201498,0.478384939449987,0.740839107454921,1156.64028694607,530.230916354935,1854.90789456197
0.689706700539552,0.54656498558652,0.832049256163882,1296.15029262136,594.403761224005,2090.39176929487
0.6527555759728,0.511658829713308,0.781169417939142,1226.85866192934,560.916730766854,1979.90212593352
0.678584650776706,0.532786196955544,0.815295749414018,1276.04781895859,571.090280589413,2055.77620217421
0.736082513733955,0.585016737503759,0.887604187238981,1383.71378477523,622.721261721866,2223.74421460041
0.801477892686272,0.633441413719898,0.963120562760128,1507.88270240211,705.539418925731,2462.64410035011
0.751355199764876,0.59008490032976,0.913840301338792,1417.39726569809,606.494744380451,2309.45142315594
0.796002838798586,0.61510521158249,0.966705799684647,1503.2385436413,670.142510735896,2498.35419549659
0.839908922628616,0.651838215106007,1.01727771991236,1585.50875334644,714.180234138023,2631.22996338084
0.616732841689004,0.47695668653375,0.749847221969431,1162.30450606231,502.015850647445,1892.14178002106
0.578055420619824,0.448621110677478,0.697267774833074,1087.65460655074,486.682544194621,1764.53693764075
0.705544453334627,0.556006685570323,0.854308900257681,1326.82831626572,613.872733092778,2158.06249754397
0.831523896688084,0.655528309024831,0.999643887301669,1564.22051664211,719.934981388572,2538.87904268977
0.886282586732861,0.707402497653615,1.06867953722973,1668.57633779238,774.652380392466,2726.9750393012
0.934547837358036,0.75163763124378,1.12344097545508,1758.83678928148,802.448209941874,2851.12218638352
1.06526443735106,0.858884676314483,1.27162560965709,2003.63634992539,940.913008037297,3243.06913677018
1.1255880679461,0.925423559235365,1.34524719101469,2115.94477888932,1016.30641985225,3425.4199368445
0.994337976864794,0.811593838781695,1.17953367706301,1867.41141882427,869.710790839783,2980.94278978951
0.743210666119348,0.58925394293463,0.891480099141393,1395.8992400985,660.357288150894,2257.29880818351
0.993517874449702,0.796105552183464,1.18216251127292,1865.80819705356,881.985640246441,2992.93446839971
0.958290099708583,0.778185798700012,1.1391720610213,1800.04234304774,837.091929697598,2882.60801666023
0.914306869101622,0.738048257659779,1.09133298594469,1719.13105975993,786.671591522045,2763.45575943548
0.94571102479028,0.763153327890282,1.13425355958917,1779.69616343975,821.756665321272,2889.05215677489
0.883006642853154,0.705528875748068,1.05929992973259,1662.61332506973,746.90837395358,2691.75731631233
1.09965496142224,0.89162999827703,1.31655817685685,2067.29532141768,973.790525964163,3336.87995453562
1.20947647180467,0.997928046923026,1.44995635013949,2273.93266193768,1072.91533066511,3661.16761668486
1.17489876979504,0.974615433913292,1.39652248708914,2207.3214773937,1067.32365079079,3557.16134165979
1.18183133119765,0.980508224444067,1.40627060418343,2220.5098599853,1048.93877166945,3554.69439285518
1.24895077664736,1.03205659394431,1.48217960793415,2346.62548474351,1107.10113844528,3751.28043115841
1.21393974774175,1.01224822345469,1.44232885423154,2279.85080751649,1099.30552996065,3658.73291190013
1.03017775255348,0.840348180293867,1.21686918609046,1934.76200691867,928.2114322998,3112.81654962767
1.07211141193808,0.883262134366115,1.2720511158648,2013.14533593488,955.55846351382,3218.32267621022
1.04467917636381,0.854219139910814,1.23434299521107,1961.58092349139,923.694265391395,3130.84073580416
1.03823189598787,0.849164043662841,1.22750502610028,1949.28538567479,916.921868309625,3109.29071822307
0.898684117815729,0.721746067331124,1.06302606579624,1687.84776687189,794.736374315293,2711.15644132052
0.884039572358524,0.717694113177933,1.05412456615462,1659.85282332727,771.51565453365,2649.49660128186
0.847521112434477,0.68277815610424,1.00784263611998,1590.86811005599,739.0590523365,2536.700038332
0.714522111148169,0.568610871613093,0.855062446042919,1341.54493875818,613.899823041488,2141.98850683669
0.526395758797943,0.405298027293057,0.644182937493031,989.800136748308,457.415311161513,1619.18083824646
0.623485318525877,0.491119895459543,0.752131698187757,1171.43554010118,537.196467657814,1887.06085811386
0.703741401281397,0.560777145516618,0.849683710469222,1321.88188725406,612.059574290909,2128.820566356
0.609661242129514,0.475609325363967,0.736462617044222,1147.59233907117,511.1726696626,1863.09571097545
0.672663076645715,0.528347253449082,0.819905782509354,1267.18562449686,555.51849596869,2060.80609720287
0.720092633709082,0.56879445771098,0.872372134351329,1355.35440317906,610.772339990949,2203.6058769969
