Country,Fleet,Year,Catch_tonnes,Effort,CPUE
Liberia,Artisanal,1990,NA,NA,NA
Liberia,Artisanal,1991,NA,NA,NA
Liberia,Artisanal,1992,NA,NA,NA
Liberia,Artisanal,1993,NA,NA,NA
Liberia,Artisanal,1994,NA,NA,NA
Liberia,Artisanal,1995,NA,NA,NA
Liberia,Artisanal,1996,NA,NA,NA
Liberia,Artisanal,1997,291,5890,0.05
Liberia,Artisanal,1998,372,4089,0.09
Liberia,Artisanal,1999,667,3058,0.22
Liberia,Artisanal,2000,532,3985,0.13
Liberia,Artisanal,2001,1087,4178,0.26
Liberia,Artisanal,2002,1080,3120,0.35
Liberia,Artisanal,2003,1080,3299,0.33
Liberia,Artisanal,2004,1084,3101,0.35
Liberia,Artisanal,2005,309,3290,0.09
Liberia,Artisanal,2006,528,3446,0.15
Liberia,Artisanal,2007,1278,2549,0.5
Liberia,Artisanal,2008,2356,143487,0.02
Liberia,Artisanal,2009,736,166235,0
Liberia,Artisanal,2010,3241,139987,0.02
Liberia,Artisanal,2011,3955,148736,0.03
Liberia,Artisanal,2012,3526,118663,0.03
Liberia,Artisanal,2013,3555,125812,0.03
Liberia,Artisanal,2014,3428,135820,0.03
Liberia,Artisanal,2015,3626,155002,0.02
Liberia,Artisanal,2016,3588,129168,0.03
Liberia,Artisanal,2017,5115,158446,0.03
Liberia,Industrial,1990,303,NA,NA
Liberia,Industrial,1991,112,NA,NA
Liberia,Industrial,1992,410,NA,NA
Liberia,Industrial,1993,330,NA,NA
Liberia,Industrial,1994,222,NA,NA
Liberia,Industrial,1995,876,NA,NA
Liberia,Industrial,1996,199,NA,NA
Liberia,Industrial,1997,194,398,0.49
Liberia,Industrial,1998,248,235,1.06
Liberia,Industrial,1999,445,189,2.35
Liberia,Industrial,2000,355,203,1.75
Liberia,Industrial,2001,271,220,1.23
Liberia,Industrial,2002,270,288,0.94
Liberia,Industrial,2003,270,250,1.08
Liberia,Industrial,2004,271,168,1.61
Liberia,Industrial,2005,77,190,0.41
Liberia,Industrial,2006,132,212,0.62
Liberia,Industrial,2007,320,190,1.68
Liberia,Industrial,2008,223,NA,0.86
Liberia,Industrial,2009,630,NA,NA
Liberia,Industrial,2010,139,NA,NA
Liberia,Industrial,2011,111,688,0.16
Liberia,Industrial,2012,89,258,0.34
Liberia,Industrial,2013,NA,NA,NA
Liberia,Industrial,2014,NA,NA,NA
Liberia,Industrial,2015,NA,NA,NA
Liberia,Industrial,2016,NA,NA,NA
Liberia,Industrial,2017,NA,NA,NA
