Country,Fleet,Year,Catch_tonnes
Liberia,Artisanal,1990,NA
Liberia,Artisanal,1991,NA
Liberia,Artisanal,1992,NA
Liberia,Artisanal,1993,NA
Liberia,Artisanal,1994,NA
Liberia,Artisanal,1995,NA
Liberia,Artisanal,1996,NA
Liberia,Artisanal,1997,291
Liberia,Artisanal,1998,372
Liberia,Artisanal,1999,667
Liberia,Artisanal,2000,532
Liberia,Artisanal,2001,1087
Liberia,Artisanal,2002,1080
Liberia,Artisanal,2003,1080
Liberia,Artisanal,2004,1084
Liberia,Artisanal,2005,309
Liberia,Artisanal,2006,528
Liberia,Artisanal,2007,1278
Liberia,Artisanal,2008,2356
Liberia,Artisanal,2009,736
Liberia,Artisanal,2010,3241
Liberia,Artisanal,2011,3955
Liberia,Artisanal,2012,3526
Liberia,Artisanal,2013,3555
Liberia,Artisanal,2014,3428
Liberia,Artisanal,2015,3626
Liberia,Artisanal,2016,3588
Liberia,Artisanal,2017,5115
Liberia,Industrial,1990,303
Liberia,Industrial,1991,112
Liberia,Industrial,1992,410
Liberia,Industrial,1993,330
Liberia,Industrial,1994,222
Liberia,Industrial,1995,876
Liberia,Industrial,1996,199
Liberia,Industrial,1997,194
Liberia,Industrial,1998,248
Liberia,Industrial,1999,445
Liberia,Industrial,2000,355
Liberia,Industrial,2001,271
Liberia,Industrial,2002,270
Liberia,Industrial,2003,270
Liberia,Industrial,2004,271
Liberia,Industrial,2005,77
Liberia,Industrial,2006,132
Liberia,Industrial,2007,320
Liberia,Industrial,2008,223
Liberia,Industrial,2009,630
Liberia,Industrial,2010,139
Liberia,Industrial,2011,111
Liberia,Industrial,2012,89
Liberia,Industrial,2013,NA
Liberia,Industrial,2014,NA
Liberia,Industrial,2015,NA
Liberia,Industrial,2016,NA
Liberia,Industrial,2017,NA
