Country,Fleet,Year,CPUE
Liberia,Industrial,1990,NA
Liberia,Industrial,1991,NA
Liberia,Industrial,1992,NA
Liberia,Industrial,1993,NA
Liberia,Industrial,1994,NA
Liberia,Industrial,1995,NA
Liberia,Industrial,1996,NA
Liberia,Industrial,1997,0.49
Liberia,Industrial,1998,1.06
Liberia,Industrial,1999,2.35
Liberia,Industrial,2000,1.75
Liberia,Industrial,2001,1.23
Liberia,Industrial,2002,0.94
Liberia,Industrial,2003,1.08
Liberia,Industrial,2004,1.61
Liberia,Industrial,2005,0.41
Liberia,Industrial,2006,0.62
Liberia,Industrial,2007,1.68
Liberia,Industrial,2008,0.86
Liberia,Industrial,2009,NA
Liberia,Industrial,2010,NA
Liberia,Industrial,2011,0.16
Liberia,Industrial,2012,0.34
Liberia,Industrial,2013,NA
Liberia,Industrial,2014,NA
Liberia,Industrial,2015,NA
Liberia,Industrial,2016,NA
Liberia,Industrial,2017,NA
Liberia,Artisanal,1990,NA
Liberia,Artisanal,1991,NA
Liberia,Artisanal,1992,NA
Liberia,Artisanal,1993,NA
Liberia,Artisanal,1994,NA
Liberia,Artisanal,1995,NA
Liberia,Artisanal,1996,NA
Liberia,Artisanal,1997,0.05
Liberia,Artisanal,1998,0.09
Liberia,Artisanal,1999,0.22
Liberia,Artisanal,2000,0.13
Liberia,Artisanal,2001,0.26
Liberia,Artisanal,2002,0.35
Liberia,Artisanal,2003,0.33
Liberia,Artisanal,2004,0.35
Liberia,Artisanal,2005,0.09
Liberia,Artisanal,2006,0.15
Liberia,Artisanal,2007,0.5
Liberia,Artisanal,2008,0.02
Liberia,Artisanal,2009,0
Liberia,Artisanal,2010,0.02
Liberia,Artisanal,2011,0.03
Liberia,Artisanal,2012,0.03
Liberia,Artisanal,2013,0.03
Liberia,Artisanal,2014,0.03
Liberia,Artisanal,2015,0.02
Liberia,Artisanal,2016,0.03
Liberia,Artisanal,2017,0.03
