Country,Fleet,Year,Effort
Liberia,Artisanal,1990,NA
Liberia,Artisanal,1991,NA
Liberia,Artisanal,1992,NA
Liberia,Artisanal,1993,NA
Liberia,Artisanal,1994,NA
Liberia,Artisanal,1995,NA
Liberia,Artisanal,1996,NA
Liberia,Artisanal,1997,5890
Liberia,Artisanal,1998,4089
Liberia,Artisanal,1999,3058
Liberia,Artisanal,2000,3985
Liberia,Artisanal,2001,4178
Liberia,Artisanal,2002,3120
Liberia,Artisanal,2003,3299
Liberia,Artisanal,2004,3101
Liberia,Artisanal,2005,3290
Liberia,Artisanal,2006,3446
Liberia,Artisanal,2007,2549
Liberia,Artisanal,2008,143487
Liberia,Artisanal,2009,166235
Liberia,Artisanal,2010,139987
Liberia,Artisanal,2011,148736
Liberia,Artisanal,2012,118663
Liberia,Artisanal,2013,125812
Liberia,Artisanal,2014,135820
Liberia,Artisanal,2015,155002
Liberia,Artisanal,2016,129168
Liberia,Artisanal,2017,158446
Liberia,Industrial,1990,NA
Liberia,Industrial,1991,NA
Liberia,Industrial,1992,NA
Liberia,Industrial,1993,NA
Liberia,Industrial,1994,NA
Liberia,Industrial,1995,NA
Liberia,Industrial,1996,NA
Liberia,Industrial,1997,398
Liberia,Industrial,1998,235
Liberia,Industrial,1999,189
Liberia,Industrial,2000,203
Liberia,Industrial,2001,220
Liberia,Industrial,2002,288
Liberia,Industrial,2003,250
Liberia,Industrial,2004,168
Liberia,Industrial,2005,190
Liberia,Industrial,2006,212
Liberia,Industrial,2007,190
Liberia,Industrial,2008,NA
Liberia,Industrial,2009,NA
Liberia,Industrial,2010,NA
Liberia,Industrial,2011,688
Liberia,Industrial,2012,258
Liberia,Industrial,2013,NA
Liberia,Industrial,2014,NA
Liberia,Industrial,2015,NA
Liberia,Industrial,2016,NA
Liberia,Industrial,2017,NA
